City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Denver,2021-04-03 07:00:00+00:00,0.018333333333333333,7.4222222222222225,27.288888888888888,0.4255555555555555,0.0,0.02681818181818182,6.8,34.0,16.6,0.018666666666666665,0.037,0.06,0.04026315789473684,7.211111111111111,5.8,3.7,5.473684210526316
Denver,2021-04-03 06:00:00+00:00,0.018666666666666665,7.211111111111111,26.34444444444444,0.42777777777777776,0.0,0.02590909090909091,7.4,33.0,16.6,0.019,0.048,0.062,0.0411578947368421,7.0,5.0,3.8,5.38421052631579
Denver,2021-04-03 14:00:00+00:00,0.019,7.0,25.4,0.43,0.0,0.025,10.1,31.0,13.0,0.027999999999999997,0.057,0.064,0.04205263157894737,6.4,4.2,4.0,5.294736842105263
Denver,2021-04-03 15:00:00+00:00,0.027999999999999997,6.4,26.5,0.38,0.0,0.021,13.9,24.0,16.6,0.037,0.058499999999999996,0.055,0.04294736842105263,5.8,3.95,4.266666666666667,5.205263157894737
Denver,2021-04-03 16:00:00+00:00,0.037,5.8,27.6,0.33,0.0,0.017,17.2,18.0,9.4,0.048,0.06,0.046,0.04384210526315789,5.0,3.7,4.533333333333333,5.11578947368421
Denver,2021-04-03 17:00:00+00:00,0.048,5.0,19.9,0.27,0.0,0.01,20.4,14.0,9.4,0.057,0.062,0.037,0.04473684210526316,4.2,3.8,4.8,5.026315789473684
Denver,2021-04-03 18:00:00+00:00,0.057,4.2,15.8,0.22,0.0,0.003,21.7,10.0,9.4,0.058499999999999996,0.064,0.028,0.04563157894736842,3.95,4.0,6.1,4.936842105263158
Denver,2021-04-03 19:00:00+00:00,0.058499999999999996,3.95,13.5,0.22999999999999998,0.0,0.0025,23.1,7.0,9.4,0.06,0.055,0.018,0.04652631578947368,3.7,4.266666666666667,9.5,4.847368421052631
Denver,2021-04-03 20:00:00+00:00,0.06,3.7,11.2,0.24,0.0,0.002,23.8,7.0,13.0,0.062,0.046,0.026000000000000002,0.04742105263157895,3.8,4.533333333333333,7.8,4.757894736842106
Denver,2021-04-03 21:00:00+00:00,0.062,3.8,12.6,0.25,0.0,0.002,24.4,7.0,9.4,0.064,0.037,0.034,0.04831578947368421,4.0,4.8,6.1,4.6684210526315795
Denver,2021-04-03 22:00:00+00:00,0.064,4.0,13.1,0.23,0.0,0.003,24.2,6.0,0.0,0.055,0.028,0.03489473684210527,0.04921052631578947,4.266666666666667,6.1,6.010526315789473,4.578947368421053
Denver,2021-04-04 00:00:00+00:00,0.055,4.266666666666667,16.433333333333334,0.24333333333333335,0.0,0.009666666666666665,24.0,8.0,18.4,0.046,0.018,0.03578947368421053,0.050105263157894736,4.533333333333333,9.5,5.921052631578947,4.489473684210527
Denver,2021-04-03 23:00:00+00:00,0.046,4.533333333333333,19.766666666666666,0.2566666666666667,0.0,0.01633333333333333,24.3,7.0,13.0,0.037,0.026000000000000002,0.03668421052631579,0.051,4.8,7.8,5.8315789473684205,4.4
Denver,2021-04-04 01:00:00+00:00,0.037,4.8,23.1,0.27,0.0,0.023,20.0,14.0,14.8,0.028,0.034,0.03757894736842105,0.03933333333333333,6.1,6.1,5.742105263157894,5.166666666666667
Denver,2021-04-04 02:00:00+00:00,0.028,6.1,33.4,0.35,0.0,0.027,15.1,20.0,13.0,0.018,0.03489473684210527,0.03847368421052631,0.027666666666666666,9.5,6.010526315789473,5.652631578947368,5.933333333333334
Denver,2021-04-04 03:00:00+00:00,0.018,9.5,32.7,0.52,0.0,0.032,11.6,26.0,16.6,0.026000000000000002,0.03578947368421053,0.03936842105263158,0.016,7.8,5.921052631578947,5.563157894736841,6.7
Denver,2021-04-04 04:00:00+00:00,0.026000000000000002,7.8,28.6,0.39,0.0,0.03057142857142857,12.0,24.0,16.6,0.034,0.03668421052631579,0.04026315789473684,0.0205,6.1,5.8315789473684205,5.473684210526316,6.4
Denver,2021-04-04 05:00:00+00:00,0.034,6.1,24.5,0.26,0.0,0.029142857142857144,11.5,24.0,18.4,0.03489473684210527,0.03757894736842105,0.0411578947368421,0.025,6.010526315789473,5.742105263157894,5.38421052631579,6.1
Denver,2021-04-04 23:00:00+00:00,0.03489473684210527,6.010526315789473,24.03684210526316,0.25526315789473686,0.0,0.027714285714285712,24.2,11.0,7.6,0.03578947368421053,0.03847368421052631,0.04205263157894737,0.02,5.921052631578947,5.652631578947368,5.294736842105263,6.8
Denver,2021-04-04 22:00:00+00:00,0.03578947368421053,5.921052631578947,23.573684210526316,0.2505263157894737,0.0,0.026285714285714287,24.9,10.0,5.4,0.03668421052631579,0.03936842105263158,0.04294736842105263,0.021,5.8315789473684205,5.563157894736841,5.205263157894737,6.166666666666667
Denver,2021-04-04 21:00:00+00:00,0.03668421052631579,5.8315789473684205,23.110526315789475,0.24578947368421053,0.0,0.024857142857142855,24.8,10.0,18.4,0.03757894736842105,0.04026315789473684,0.04384210526315789,0.022,5.742105263157894,5.473684210526316,5.11578947368421,5.533333333333333
Denver,2021-04-04 20:00:00+00:00,0.03757894736842105,5.742105263157894,22.647368421052633,0.24105263157894738,0.0,0.02342857142857143,24.3,10.0,18.4,0.03847368421052631,0.0411578947368421,0.04473684210526316,0.023,5.652631578947368,5.38421052631579,5.026315789473684,4.9
Denver,2021-04-04 19:00:00+00:00,0.03847368421052631,5.652631578947368,22.184210526315788,0.2363157894736842,0.0,0.022,24.5,10.0,13.0,0.03936842105263158,0.04205263157894737,0.04563157894736842,0.019,5.563157894736841,5.294736842105263,4.936842105263158,5.0
Denver,2021-04-04 18:00:00+00:00,0.03936842105263158,5.563157894736841,21.72105263157895,0.23157894736842105,0.0,0.020571428571428574,22.6,12.0,13.0,0.04026315789473684,0.04294736842105263,0.04652631578947368,0.021,5.473684210526316,5.205263157894737,4.847368421052631,5.0
Denver,2021-04-04 17:00:00+00:00,0.04026315789473684,5.473684210526316,21.257894736842104,0.2268421052631579,0.0,0.019142857142857142,21.1,14.0,11.2,0.0411578947368421,0.04384210526315789,0.04742105263157895,0.023,5.38421052631579,5.11578947368421,4.757894736842106,5.05
Denver,2021-04-04 16:00:00+00:00,0.0411578947368421,5.38421052631579,20.794736842105262,0.22210526315789475,0.0,0.017714285714285717,18.8,18.0,13.0,0.04205263157894737,0.04473684210526316,0.04831578947368421,0.025,5.294736842105263,5.026315789473684,4.6684210526315795,5.1
Denver,2021-04-04 15:00:00+00:00,0.04205263157894737,5.294736842105263,20.33157894736842,0.2173684210526316,0.0,0.016285714285714285,14.7,24.0,24.1,0.04294736842105263,0.04563157894736842,0.04921052631578947,0.029500000000000002,5.205263157894737,4.936842105263158,4.578947368421053,5.8
Denver,2021-04-04 14:00:00+00:00,0.04294736842105263,5.205263157894737,19.86842105263158,0.21263157894736842,0.0,0.014857142857142857,11.1,31.0,16.6,0.04384210526315789,0.04652631578947368,0.050105263157894736,0.034,5.11578947368421,4.847368421052631,4.489473684210527,5.8
Denver,2021-04-04 13:00:00+00:00,0.04384210526315789,5.11578947368421,19.405263157894737,0.20789473684210527,0.0,0.013428571428571429,7.4,38.0,14.8,0.04473684210526316,0.04742105263157895,0.051,0.039,5.026315789473684,4.757894736842106,4.4,5.4
Denver,2021-04-04 12:00:00+00:00,0.04473684210526316,5.026315789473684,18.942105263157895,0.20315789473684212,0.0,0.012,7.0,38.0,16.6,0.04563157894736842,0.04831578947368421,0.03933333333333333,0.045,4.936842105263158,4.6684210526315795,5.166666666666667,4.9
Denver,2021-04-04 11:00:00+00:00,0.04563157894736842,4.936842105263158,18.478947368421053,0.19842105263157894,0.0,0.010571428571428572,6.2,41.0,16.6,0.04652631578947368,0.04921052631578947,0.027666666666666666,0.042,4.847368421052631,4.578947368421053,5.933333333333334,4.4
Denver,2021-04-04 10:00:00+00:00,0.04652631578947368,4.847368421052631,18.015789473684208,0.1936842105263158,0.0,0.009142857142857144,6.8,40.0,14.8,0.04742105263157895,0.050105263157894736,0.016,0.047,4.757894736842106,4.489473684210527,6.7,4.050000000000001
Denver,2021-04-04 09:00:00+00:00,0.04742105263157895,4.757894736842106,17.552631578947366,0.18894736842105264,0.0,0.007714285714285714,7.5,39.0,16.6,0.04831578947368421,0.051,0.0205,0.052,4.6684210526315795,4.4,6.4,3.7
Denver,2021-04-04 08:00:00+00:00,0.04831578947368421,4.6684210526315795,17.089473684210525,0.1842105263157895,0.0,0.006285714285714286,9.4,33.0,11.2,0.04921052631578947,0.03933333333333333,0.025,0.054,4.578947368421053,5.166666666666667,6.1,3.7
Denver,2021-04-04 07:00:00+00:00,0.04921052631578947,4.578947368421053,16.626315789473683,0.17947368421052634,0.0,0.004857142857142857,10.5,31.0,7.6,0.050105263157894736,0.027666666666666666,0.02,0.052,4.489473684210527,5.933333333333334,6.8,4.0
Denver,2021-04-04 06:00:00+00:00,0.050105263157894736,4.489473684210527,16.16315789473684,0.17473684210526316,0.0,0.0034285714285714284,11.2,27.0,13.0,0.051,0.016,0.021,0.055,4.4,6.7,6.166666666666667,4.1
Denver,2021-04-05 00:00:00+00:00,0.051,4.4,15.7,0.17,0.0,0.002,22.5,15.0,18.4,0.03933333333333333,0.0205,0.022,0.044,5.166666666666667,6.4,5.533333333333333,4.7
Denver,2021-04-05 02:00:00+00:00,0.03933333333333333,5.166666666666667,23.133333333333333,0.22000000000000003,0.0,0.010666666666666665,19.8,19.0,25.9,0.027666666666666666,0.025,0.023,0.017,5.933333333333334,6.1,4.9,5.6
Denver,2021-04-05 01:00:00+00:00,0.027666666666666666,5.933333333333334,30.566666666666666,0.27,0.0,0.019333333333333334,21.6,16.0,16.6,0.016,0.02,0.019,0.022,6.7,6.8,5.0,6.1
Denver,2021-04-05 03:00:00+00:00,0.016,6.7,38.0,0.32,0.0,0.028,16.1,25.0,13.0,0.0205,0.021,0.021,0.027,6.4,6.166666666666667,5.0,6.6
Denver,2021-04-05 04:00:00+00:00,0.0205,6.4,30.0,0.31,0.0,0.025,13.2,31.0,11.2,0.025,0.022,0.023,0.011,6.1,5.533333333333333,5.05,7.7
Denver,2021-04-05 05:00:00+00:00,0.025,6.1,22.0,0.3,0.0,0.022,11.7,39.0,22.3,0.02,0.023,0.025,0.0215,6.8,4.9,5.1,7.0
Denver,2021-04-05 06:00:00+00:00,0.02,6.8,24.0,0.36,0.0,0.019,10.2,42.0,11.2,0.021,0.019,0.029500000000000002,0.032,6.166666666666667,5.0,5.8,6.3
Denver,2021-04-05 08:00:00+00:00,0.021,6.166666666666667,21.1,0.30333333333333334,0.0,0.016666666666666666,9.3,43.0,16.6,0.022,0.021,0.034,0.038,5.533333333333333,5.0,5.8,6.8
Denver,2021-04-05 07:00:00+00:00,0.022,5.533333333333333,18.2,0.24666666666666667,0.0,0.014333333333333333,11.2,37.0,13.0,0.023,0.023,0.039,0.040499999999999994,4.9,5.05,5.4,7.0
Denver,2021-04-05 09:00:00+00:00,0.023,4.9,15.3,0.19,0.0,0.012,8.8,44.0,13.0,0.019,0.025,0.045,0.043,5.0,5.1,4.9,7.2
Denver,2021-04-05 10:00:00+00:00,0.019,5.0,16.9,0.16,0.0,0.018,8.4,44.0,13.0,0.021,0.029500000000000002,0.042,0.038,5.0,5.8,4.4,7.6
Denver,2021-04-05 11:00:00+00:00,0.021,5.0,18.3,0.18,0.0,0.017,9.3,42.0,18.4,0.023,0.034,0.047,0.034,5.05,5.8,4.050000000000001,7.5
Denver,2021-04-05 12:00:00+00:00,0.023,5.05,20.8,0.20500000000000002,0.0,0.0165,9.5,39.0,22.3,0.025,0.039,0.052,0.029,5.1,5.4,3.7,7.9
Denver,2021-04-05 13:00:00+00:00,0.025,5.1,23.3,0.23,0.0,0.016,9.7,36.0,22.3,0.029500000000000002,0.045,0.054,0.024,5.8,4.9,3.7,8.3
Denver,2021-04-05 14:00:00+00:00,0.029500000000000002,5.8,35.1,0.21500000000000002,0.0,0.016,13.9,27.0,25.9,0.034,0.042,0.052,0.034,5.8,4.4,4.0,7.2
Denver,2021-04-05 15:00:00+00:00,0.034,5.8,44.5,0.2,0.0,0.01,17.4,20.0,25.9,0.039,0.047,0.055,0.036500000000000005,5.4,4.050000000000001,4.1,7.65
Denver,2021-04-05 16:00:00+00:00,0.039,5.4,38.9,0.21,0.0,0.008,18.4,18.0,24.1,0.045,0.052,0.044,0.039,4.9,3.7,4.7,8.1
